hospitalized_today,total_hospitalized,district,observation,isolation,active
38,652,Kasaragod,5119,4467,895
157,647,Kannur,9141,8494,731
23,371,Wayanad,2634,2263,313
116,1312,Kozhikode,14720,13408,1338
192,1709,Malappuram,38702,36993,2411
69,847,Palakkad,14142,13295,851
125,722,Thrissur,9010,8288,685
225,1244,Ernakulam,17137,15893,1698
13,236,Idukki,4215,3979,287
100,631,Kottayam,9667,9036,854
126,1458,Alappuzha,7700,6242,1595
65,345,Pathanamthitta,5267,4922,411
56,769,Kollam,8951,8182,692
425,2816,Thiruvananthapuram,23282,20466,4621
1730,13759,Total,169687,155928,17382
