total_hospitalized,district,isolation,hospitalized_today,observation,active
248,Kasaragod,10126,9,10374,97
102,Kannur,7734,26,7836,42
5,Wayanad,10321,2,10326,1
34,Kozhikode,17373,17,17407,8
210,Malappuram,13059,68,13269,10
28,Palakkad,15578,9,15606,3
11,Thrissur,10019,4,10030,5
27,Ernakulam,2074,9,2101,7
3,Idukki,4028,1,4031,0
0,Kottayam,2278,0,2278,0
11,Alappuzha,7174,1,7185,3
16,Pathanamthitta,6231,2,6247,9
11,Kollam,6361,1,6372,7
110,Thiruvananthapuram,3769,27,3879,2
816,Total,116125,176,116941,194
