confirmed,total_hospitalized,hospitalized_today,recovered,deaths,district,isolation,observation,active
26505,257,15,24562,93,Kasaragod,5806,6063,1844
47651,532,36,43386,255,Kannur,12651,13183,3989
23299,341,18,19664,70,Wayanad,6767,7108,3564
105263,867,62,97922,393,Kozhikode,21245,22112,6927
105792,465,90,101446,385,Malappuram,20469,20934,3947
55089,544,42,51055,171,Palakkad,9172,9716,3854
87810,950,105,82878,394,Thrissur,21981,22931,4524
108412,1456,143,97709,383,Ernakulam,25282,26738,10295
23566,507,52,18906,32,Idukki,9533,10040,4623
67847,1124,306,61803,183,Kottayam,17030,18154,5855
68868,1154,96,64848,303,Alappuzha,11532,12686,3694
44794,857,92,38345,90,Pathanamthitta,13326,14183,6351
74470,786,56,68473,264,Kollam,10541,11327,5713
93271,1278,92,88424,744,Thiruvananthapuram,22456,23734,4027
932637,11118,1205,859421,3760,Total,207791,218909,69207
