isolation,district,observation,total_hospitalized,hospitalized_today,active
6085,Kasaragod,6296,211,40,282
25706,Kannur,26093,387,29,357
3566,Wayanad,3677,111,19,95
14761,Kozhikode,15114,353,107,263
41885,Malappuram,42628,743,54,563
11974,Palakkad,12270,296,17,265
13831,Thrissur,14105,274,53,241
14411,Ernakulam,14881,470,69,475
5899,Idukki,6017,118,4,166
8627,Kottayam,8783,156,25,183
5815,Alappuzha,6390,575,28,520
4587,Pathanamthitta,4841,254,25,318
9155,Kollam,9340,185,25,213
13310,Thiruvananthapuram,14166,856,107,939
179612,Total,184601,4989,602,4880
