isolation,observation,total_hospitalized,district,hospitalized_today,active
7473,7571,98,Kasaragod,3,98
16757,16957,200,Kannur,24,117
5662,5690,28,Wayanad,4,13
14234,14359,125,Kozhikode,31,55
16495,16764,269,Malappuram,42,89
16337,16531,194,Palakkad,16,141
16045,16133,88,Thrissur,5,59
16807,16900,93,Ernakulam,12,43
6478,6498,20,Idukki,9,17
10666,10690,24,Kottayam,6,29
8488,8556,68,Alappuzha,9,63
8459,8507,48,Pathanamthitta,15,42
10817,10879,62,Kollam,7,52
13860,14030,170,Thiruvananthapuram,42,66
168578,170065,1487,Total,225,884
