isolation,district,observation,hospitalized_today,total_hospitalized,active
10055,Kasaragod,10232,21,177,114
10201,Kannur,10301,23,100,56
10745,Wayanad,10753,5,8,3
21906,Kozhikode,21934,9,28,9
13873,Malappuram,13936,25,63,11
19669,Palakkad,19721,8,52,6
19062,Thrissur,19099,8,37,9
3843,Ernakulam,3878,1,35,17
2829,Idukki,2836,1,7,9
3301,Kottayam,3304,0,3,1
7098,Alappuzha,7108,4,10,1
8631,Pathanamthitta,8656,9,25,6
16157,Kollam,16171,4,14,4
17921,Thiruvananthapuram,18005,27,84,10
165291,Total,165934,145,643,256
