isolation,hospitalized_today,district,total_hospitalized,observation,active
8302,3,Kasaragod,100,8402,99
19322,11,Kannur,175,19497,127
5981,3,Wayanad,25,6006,15
16610,21,Kozhikode,142,16752,75
18179,47,Malappuram,350,18529,163
18590,18,Palakkad,205,18795,158
18523,30,Thrissur,131,18654,114
20534,6,Ernakulam,104,20638,52
10537,0,Idukki,26,10563,23
12298,4,Kottayam,33,12331,37
7269,5,Alappuzha,93,7362,74
9998,26,Pathanamthitta,79,10077,75
12538,14,Kollam,100,12638,83
16626,23,Thiruvananthapuram,208,16834,79
195307,211,Total,1771,197078,1174
