observation,isolation,district,deaths,confirmed,recovered,active,total_hospitalized,hospitalized_today
7297,6941,Kasaragod,75,21371,19590,1702,356,28
16958,16355,Kannur,151,31501,28334,3010,603,63
9485,8816,Wayanad,22,10002,8647,1333,669,137
23303,21619,Kozhikode,181,65481,58728,6565,1684,187
85259,83869,Malappuram,215,68699,60380,8094,1390,106
16199,15038,Palakkad,81,36505,31140,5280,1161,151
27546,25852,Thrissur,217,56551,49577,6752,1694,200
26319,24806,Ernakulam,209,62763,53854,8689,1513,195
15266,14813,Idukki,11,10866,8462,2391,453,30
17039,15335,Kottayam,90,33528,29459,3977,1704,260
10860,9508,Alappuzha,155,45659,38909,6577,1352,148
10238,9536,Pathanamthitta,16,19429,17223,2189,702,52
20278,19019,Kollam,162,45801,41442,4190,1259,118
28629,27109,Thiruvananthapuram,536,70207,65263,4357,1520,178
314676,298616,Total,2121,578363,511008,65106,16060,1853
