observation,district,isolation,total_hospitalized,hospitalized_today,active
7097,Kasaragod,7006,91,11,88
22751,Kannur,22335,416,102,217
3697,Wayanad,3646,51,7,40
18937,Kozhikode,18737,200,59,93
33854,Malappuram,33352,502,73,226
11455,Palakkad,11168,287,30,249
19511,Thrissur,19315,196,22,165
13468,Ernakulam,13213,255,22,191
4438,Idukki,4396,42,5,42
7206,Kottayam,7103,103,5,117
7149,Alappuzha,6934,215,10,178
5130,Pathanamthitta,4942,188,7,206
9977,Kollam,9771,206,5,181
13429,Thiruvananthapuram,13193,236,45,95
178099,Total,175111,2988,403,2088
