hospitalized_today,district,observation,isolation,total_hospitalized,active
8,Kasaragod,6317,6124,193,230
63,Kannur,25294,24884,410,326
14,Wayanad,3584,3485,99,94
84,Kozhikode,15286,14998,288,213
71,Malappuram,42236,41509,727,589
27,Palakkad,11991,11684,307,299
20,Thrissur,14178,13945,233,237
39,Ernakulam,14115,13685,430,403
6,Idukki,5870,5749,121,115
13,Kottayam,8160,8018,142,171
132,Alappuzha,6404,5836,568,500
79,Pathanamthitta,4822,4532,290,273
43,Kollam,9417,9251,166,210
121,Thiruvananthapuram,14173,13367,806,794
720,Total,181847,177067,4780,4454
