active,district,recovered,isolation,total_hospitalized,observation,hospitalized_today,confirmed,deaths
2839,Kasaragod,7569,3409,924,4333,33,10464,52
4234,Kannur,6686,13864,1165,15029,138,10970,47
851,Wayanad,2573,3125,669,3794,106,3429,5
6186,Kozhikode,11615,21737,3067,24804,378,17877,70
5488,Malappuram,16001,36090,2447,38537,231,21566,71
3743,Palakkad,7458,8658,1705,10363,164,11232,30
4929,Thrissur,7848,9514,2399,11913,321,12825,49
6841,Ernakulam,10266,23363,2692,26055,250,17176,61
994,Idukki,2636,9478,654,10132,89,3635,3
3968,Kottayam,6289,18709,2575,21284,186,10275,18
4164,Alappuzha,9377,10633,3233,13866,244,13582,37
1994,Pathanamthitta,5559,6994,1105,8099,159,7559,5
5264,Kollam,7873,17684,1967,19651,171,13191,51
10303,Thiruvananthapuram,22938,25000,4100,29100,436,33495,220
61794,Total,124688,208258,28702,236960,2906,187276,719
