district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,4926,4873,53,10,4
Kollam,1014,1011,3,0,0
Pathanamthitta,4767,4753,14,2,9
Idukki,600,597,3,3,1
Kottayam,2412,2406,6,1,2
Alappuzha,4428,4417,11,5,0
Ernakulam,3984,3961,23,4,12
Thrissur,8538,8498,40,19,1
Palakkad,5109,5084,25,9,0
Malappuram,7394,7383,11,7,4
Kozhikode,8150,8116,34,20,2
Wayanad,1114,1113,1,0,0
Kannur,6126,6077,49,16,10
Kasaragod,733,692,41,26,19
Total,59295,58981,314,122,64
