total_hospitalized,hospitalized_today,observation,district,isolation,active
37,8,2023,Kasaragod,1986,14
114,5,2768,Kannur,2654,49
7,1,978,Wayanad,971,0
58,26,1019,Kozhikode,961,8
44,23,1810,Malappuram,1766,1
56,12,3408,Palakkad,3352,7
19,1,886,Thrissur,867,0
20,1,462,Ernakulam,442,1
15,7,1385,Idukki,1370,14
12,6,727,Kottayam,715,17
3,0,1282,Alappuzha,1279,0
9,2,385,Pathanamthitta,376,3
33,1,1143,Kollam,1110,9
62,11,2025,Thiruvananthapuram,1963,0
489,104,20301,Total,19812,123
