total_hospitalized,hospitalized_today,district,observation,isolation,active
103,10,Kasaragod,8244,8141,96
192,24,Kannur,19029,18837,125
24,0,Wayanad,5855,5831,16
143,28,Kozhikode,16357,16214,61
312,49,Malappuram,18258,17946,147
196,48,Palakkad,18389,18193,159
118,21,Thrissur,18149,18031,89
104,20,Ernakulam,19733,19629,48
27,4,Idukki,7355,7328,23
30,1,Kottayam,11888,11858,34
89,6,Alappuzha,9955,9866,70
72,12,Pathanamthitta,9749,9677,72
89,18,Kollam,12231,12142,78
217,36,Thiruvananthapuram,16289,16072,77
1716,277,Total,191481,189765,1095
