total_hospitalized,hospitalized_today,district,active,recovered,observation,deaths,isolation,confirmed
1093,131,Kasaragod,3623,8305,4607,57,3514,11989
1334,160,Kannur,5412,7504,15897,53,14563,12972
818,77,Wayanad,1120,2850,3670,5,2852,3975
3421,480,Kozhikode,8659,13238,27290,75,23869,21978
2364,258,Malappuram,6905,18516,42100,73,39736,25500
1744,230,Palakkad,5282,8184,14298,38,12554,13505
2770,239,Thrissur,6794,8983,13004,56,10234,15836
2918,213,Ernakulam,9684,11369,28863,72,25945,21133
597,44,Idukki,1223,2935,11401,4,10804,4164
2903,336,Kottayam,4867,6941,20966,23,18063,11831
3916,344,Alappuzha,5556,10698,13682,44,9766,16303
1049,174,Pathanamthitta,2402,6194,8326,6,7277,8603
1872,158,Kollam,7038,8960,18389,60,16517,16062
4269,581,Thiruvananthapuram,12256,24943,28793,247,24524,37482
31068,3425,Total,80821,139620,251286,813,220218,221333
