hospitalized_today,total_hospitalized,observation,district,isolation,active
5,103,5712,Kasaragod,5609,104
53,266,18592,Kannur,18326,144
1,31,3657,Wayanad,3626,30
36,187,16424,Kozhikode,16237,82
29,330,23966,Malappuram,23636,193
31,226,9578,Palakkad,9352,214
24,165,16435,Thrissur,16270,134
18,201,13287,Ernakulam,13086,147
7,56,4480,Idukki,4424,54
10,96,8222,Kottayam,8126,96
20,150,7200,Alappuzha,7050,133
45,175,5158,Pathanamthitta,4983,175
24,191,9024,Kollam,8833,178
41,172,17881,Thiruvananthapuram,17709,77
344,2349,159616,Total,157267,1761
