observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
6474,714,Kasaragod,3919,28,1426,5760,5376,46
11810,1050,Kannur,3029,27,831,10760,3889,139
2977,247,Wayanad,1320,5,236,2730,1561,26
15017,1835,Kozhikode,4313,31,1718,13182,6067,261
46966,1670,Malappuram,7424,24,2376,45296,9830,122
10733,601,Palakkad,4105,4,699,10132,4809,36
10319,1365,Thrissur,3372,13,1426,8954,4813,201
16102,1552,Ernakulam,4477,38,2098,14550,6620,132
4375,230,Idukki,1491,3,307,4145,1802,6
14997,1281,Kottayam,2849,3,1532,13716,4384,148
9726,1696,Alappuzha,4415,15,1616,8030,6048,157
6043,821,Pathanamthitta,2606,3,982,5222,3592,39
15078,1390,Kollam,3061,20,1430,13688,4514,33
21551,3581,Thiruvananthapuram,11351,101,4842,17970,16320,357
192168,18033,Total,57732,315,21519,174135,79625,1703
