confirmed,total_hospitalized,recovered,isolation,deaths,active,district,observation,hospitalized_today
17693,820,14723,4116,66,2900,Kasaragod,4936,41
22484,1075,16448,17413,95,5937,Kannur,18488,141
6342,672,5272,5231,5,1065,Wayanad,5903,64
42499,3253,32530,26325,122,9841,Kozhikode,29578,644
47020,1662,34628,54572,129,12255,Malappuram,56234,108
23560,1314,15592,16725,48,7919,Palakkad,18039,194
33330,2324,23437,16300,94,9795,Thrissur,18624,349
39916,2307,27213,29616,126,12568,Ernakulam,31923,131
6505,423,4638,9737,7,1858,Idukki,10160,36
20724,2344,13433,16497,42,7249,Kottayam,18841,403
28385,1503,20519,12341,83,7769,Alappuzha,13844,508
13840,957,11226,9027,9,2604,Pathanamthitta,9984,114
29657,1554,23052,17206,100,6500,Kollam,18760,264
54132,3247,44550,24956,380,9157,Thiruvananthapuram,28203,432
386087,23455,287261,260062,1306,97417,Total,283517,3429
