total_hospitalized,deaths,recovered,hospitalized_today,district,active,isolation,observation,confirmed
1079,57,8498,43,Kasaragod,3708,3467,4546,12267
1400,54,7613,115,Kannur,5857,14411,15811,13527
826,5,2947,90,Wayanad,1132,2744,3570,4084
3612,75,13640,516,Kozhikode,9421,24388,28000,23142
2233,79,19231,202,Malappuram,6976,42207,44440,26292
1815,39,8401,288,Palakkad,5560,13382,15197,14001
2817,56,9243,342,Thrissur,7327,10588,13405,16629
2910,74,11774,258,Ernakulam,10229,26653,29563,22085
558,4,3015,43,Idukki,1239,11007,11565,4260
2806,23,7259,177,Kottayam,5023,17765,20571,12305
3713,48,11306,283,Alappuzha,5488,10028,13741,16847
1016,6,6361,125,Pathanamthitta,2550,7362,8378,8918
1860,61,9360,207,Kollam,7503,17275,19135,16928
4526,255,25823,709,Thiruvananthapuram,12487,25259,29785,38601
31171,836,144471,3398,Total,84500,226536,257707,229886
