isolation,total_hospitalized,hospitalized_today,observation,district,active
7136,94,16,7230,Kasaragod,114
23518,422,36,23940,Kannur,274
3569,39,5,3608,Wayanad,33
17765,264,51,18029,Kozhikode,130
36088,485,60,36573,Malappuram,278
11793,187,26,11980,Palakkad,196
18091,217,30,18308,Thrissur,189
12889,268,31,13157,Ernakulam,194
4145,44,3,4189,Idukki,47
8205,106,6,8311,Kottayam,121
6730,230,20,6960,Alappuzha,191
4962,187,32,5149,Pathanamthitta,176
9810,166,22,9976,Kollam,155
13294,235,39,13529,Thiruvananthapuram,130
177995,2944,377,180939,Total,2228
