recovered,observation,active,deaths,district,total_hospitalized,isolation,confirmed,hospitalized_today
15815,4725,2274,69,Kasaragod,616,4109,18162,15
17808,19425,5783,101,Kannur,1017,18408,23696,26
5760,7050,978,10,Wayanad,610,6440,6748,107
35953,27559,9526,126,Kozhikode,2799,24760,45611,309
38703,59378,10931,138,Malappuram,1791,57587,49780,206
17388,17656,7555,52,Palakkad,1178,16478,24996,148
26662,21503,9789,114,Thrissur,2386,19117,36569,222
30972,32403,12034,140,Ernakulam,2194,30209,43155,166
4957,11055,1933,8,Idukki,411,10644,6900,24
15179,20453,7069,44,Kottayam,1901,18552,22293,249
22783,12566,7807,92,Alappuzha,1717,10849,30696,531
11930,10246,2598,10,Pathanamthitta,1044,9202,14539,47
25296,17946,6358,105,Kollam,1465,16481,31764,207
47486,28539,8630,394,Thiruvananthapuram,2869,25670,56555,359
316692,290504,93265,1403,Total,21998,268506,411464,2616
