district,observation,deaths,total_hospitalized,confirmed,hospitalized_today,isolation,active,recovered
Kasaragod,5698,81,283,23595,5,5415,1687,21823
Kannur,18007,189,569,37754,60,17438,3399,34158
Wayanad,10314,45,673,15140,78,9641,2435,12659
Kozhikode,27628,271,1189,81403,113,26439,5388,75731
Malappuram,74883,308,973,86433,68,73910,5234,80881
Palakkad,11644,118,800,45612,75,10844,5199,40288
Thrissur,23348,312,1299,70336,105,22049,5994,64022
Ernakulam,30919,290,1399,77761,117,29520,8238,69222
Idukki,8234,15,386,15162,57,7848,3038,12107
Kottayam,13623,138,1818,46709,368,11805,6456,40113
Alappuzha,7722,224,1093,54351,59,6629,3586,50520
Pathanamthitta,9470,44,1138,26701,110,8332,4406,22249
Kollam,14055,208,673,55381,82,13382,3132,52028
Thiruvananthapuram,24166,627,1240,79003,144,22926,3276,75035
Total,279711,2870,13533,715341,1441,266178,61468,650836
