hospitalized_today,observation,deaths,confirmed,isolation,recovered,district,active,total_hospitalized
16,5103,88,24860,4884,23205,Kasaragod,1563,219
51,13911,222,42047,13538,39111,Kannur,2701,373
22,8992,54,18857,8650,16001,Wayanad,2801,342
68,20962,325,91994,20087,86660,Kozhikode,4993,875
90,21839,357,95862,21194,91237,Malappuram,4257,645
51,9676,152,50409,9208,45516,Palakkad,4734,468
78,25297,351,78949,24298,73398,Thrissur,5190,999
51,22060,342,91105,20714,82095,Ernakulam,8650,1346
51,7248,25,18762,6784,14766,Idukki,3967,464
113,13265,166,56423,12081,50648,Kottayam,5604,1184
91,8072,256,60954,7035,56912,Alappuzha,3765,1037
109,10761,64,35265,9686,28245,Pathanamthitta,6951,1075
48,11126,235,63437,10518,58207,Kollam,4980,608
109,21086,685,85334,19939,81388,Thiruvananthapuram,3190,1147
948,199398,3322,814258,188616,747389,Total,63346,10782
