district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,142,137,5,2,1
Kollam,227,216,11,2,0
Pathanamthitta,896,862,34,2,7
Idukki,61,61,0,0,0
Kottayam,409,398,11,0,2
Alappuzha,161,140,21,5,0
Ernakulam,359,322,37,16,0
Thrissur,843,770,73,8,1
Palakkad,119,89,30,8,0
Malappuram,132,103,29,13,0
Kozhikode,483,476,7,3,0
Wayanad,38,38,0,0,0
Kannur,151,144,7,4,4
Kasaragod,159,154,5,2,0
Total,4180,3910,270,65,19
