deaths,isolation,active,confirmed,observation,recovered,district,hospitalized_today,total_hospitalized
78,7370,1660,22928,7651,21186,Kasaragod,22,281
176,22405,3075,35367,22941,32110,Kannur,48,536
33,11110,2148,13132,11820,10950,Wayanad,126,710
234,32666,5928,75863,34048,69692,Kozhikode,155,1382
270,85901,7115,81019,86931,73624,Malappuram,66,1030
96,12771,4878,42449,13690,37469,Palakkad,98,919
293,22686,5895,65176,24146,58981,Thrissur,178,1460
262,28745,7885,71794,29993,63636,Ernakulam,78,1248
13,8799,2975,13688,9149,10698,Idukki,55,350
130,11394,5524,41212,12998,35556,Kottayam,169,1604
197,7255,3601,51206,8373,47390,Alappuzha,107,1118
28,8956,3052,23263,9881,20182,Pathanamthitta,95,925
194,14089,3192,51614,14767,48217,Kollam,87,678
590,27686,3101,75921,28779,72170,Thiruvananthapuram,142,1093
2594,301833,60029,664632,315167,601861,Total,1426,13334
