isolation,observation,district,total_hospitalized,hospitalized_today,active
6374,6513,Kasaragod,139,21,189
24443,24833,Kannur,390,48,334
3515,3603,Wayanad,88,17,84
15105,15375,Kozhikode,270,49,172
40427,41097,Malappuram,670,68,521
12730,13042,Palakkad,312,47,328
14000,14238,Thrissur,238,41,209
13365,13732,Ernakulam,367,67,329
5761,5865,Idukki,104,6,112
9133,9272,Kottayam,139,19,153
5796,6190,Alappuzha,394,89,372
4880,5092,Pathanamthitta,212,74,224
8977,9106,Kollam,129,12,168
13288,13826,Thiruvananthapuram,538,75,548
177794,181784,Total,3990,633,3743
