total_hospitalized,confirmed,observation,active,isolation,district,recovered,hospitalized_today,deaths
465,19788,4975,2133,4510,Kasaragod,17580,44,71
907,27444,18989,4810,18082,Kannur,22502,80,127
589,8026,9934,1049,9345,Wayanad,6958,33,19
2431,54732,27349,8207,24918,Kozhikode,46369,186,149
1256,57257,71626,6699,70370,Malappuram,50380,186,169
1226,29780,16332,6670,15106,Palakkad,23049,147,59
2435,46892,27837,9562,25402,Thrissur,37167,286,158
2183,52893,32463,10649,30280,Ernakulam,42055,193,178
458,8282,14320,1808,13862,Idukki,6463,40,9
1869,27440,21374,4573,19505,Kottayam,22813,230,52
1481,38263,14138,8131,12657,Alappuzha,29997,293,119
857,16548,10186,1909,9329,Pathanamthitta,14623,102,15
1345,38542,18087,5868,16742,Kollam,32539,37,128
2386,63815,28486,7342,26100,Thiruvananthapuram,55965,124,461
19888,489702,316096,79410,296208,Total,408460,1981,1714
