district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,92,76,16,6,0
Kollam,85,75,10,4,0
Pathanamthitta,60,45,15,5,7
Idukki,46,45,1,0,0
Kottayam,92,82,10,6,2
Alappuzha,98,78,20,14,0
Ernakulam,248,225,23,6,0
Thrissur,277,209,68,35,0
Palakkad,73,48,25,11,0
Malappuram,75,30,45,21,0
Kozhikode,133,118,15,10,0
Wayanad,23,22,1,0,0
Kannur,88,79,9,2,3
Kasaragod,105,104,1,0,0
Total,1495,1236,259,120,14
