observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5243,1113,Kasaragod,5044,36,2109,4130,7192,79
13908,1362,Kannur,3966,35,2064,12546,6068,103
2940,517,Wayanad,1566,5,496,2423,2067,64
18055,2295,Kozhikode,6141,42,2440,15760,8628,242
33795,2092,Malappuram,9735,35,2959,31703,12735,344
9373,1222,Palakkad,4830,8,1469,8151,6308,155
11161,1366,Thrissur,4615,26,2130,9795,6773,163
23278,1841,Ernakulam,6112,48,2954,21437,9121,276
6801,414,Idukki,1766,3,503,6387,2273,80
19671,1805,Kottayam,4014,3,2177,17866,6194,158
9559,1792,Alappuzha,5761,19,2141,7767,7923,162
6560,1046,Pathanamthitta,3601,3,1181,5514,4786,122
19975,1824,Kollam,4554,28,2334,18151,6919,187
24170,3950,Thiruvananthapuram,15998,148,5118,20220,21291,549
204489,22639,Total,77703,439,30075,181850,108278,2684
