district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,13692,11474,2218,179,2201
Kollam,8198,7610,588,171,555
Pathanamthitta,4963,4523,440,20,480
ldukki,5496,5218,278,20,274
Kottayam,9150,8888,262,49,298
Alappuzha,6521,5823,698,54,617
Ernakulam,13808,12981,827,72,909
Thrissur,13977,13623,354,44,315
Palakkad,11171,10818,353,87,310
Malappuram,39398,38690,708,45,599
Kozhikode,12119,11588,531,135,441
Wayanad,3073,2889,184,16,183
Kannur,15769,15306,463,64,469
Kasaragod,5109,4736,373,28,405
Total,162444,154167,8277,984,8056
