total_hospitalized,isolation,observation,district,hospitalized_today,active
85,5649,5734,Kasaragod,9,67
205,12286,12491,Kannur,30,113
15,4543,4558,Wayanad,1,7
103,10753,10856,Kozhikode,22,38
202,13257,13459,Malappuram,53,57
151,13234,13385,Palakkad,43,125
72,12413,12485,Thrissur,11,39
84,12565,12649,Ernakulam,15,28
12,5487,5499,Idukki,6,7
22,8407,8429,Kottayam,0,22
44,6503,6547,Alappuzha,7,31
43,6414,6457,Pathanamthitta,12,23
54,7915,7969,Kollam,11,25
112,9527,9639,Thiruvananthapuram,23,42
1204,128953,130157,Total,243,624
