hospitalized_today,total_hospitalized,isolation,district,observation,active
165,1009,3495,Kasaragod,4504,1057
42,362,8962,Kannur,9324,418
24,404,2389,Wayanad,2793,342
180,878,12597,Kozhikode,13475,1150
144,1060,30797,Malappuram,31857,1134
126,614,11189,Palakkad,11803,607
52,586,11113,Thrissur,11699,570
150,1315,10539,Ernakulam,11854,1236
47,284,3784,Idukki,4068,297
48,453,9137,Kottayam,9590,403
60,960,5620,Alappuzha,6580,977
39,373,4659,Pathanamthitta,5032,400
59,568,7175,Kollam,7743,496
529,3068,14851,Thiruvananthapuram,17919,3022
1665,11934,136307,Total,148241,12109
