hospitalized_today,total_hospitalized,district,isolation,observation,active
34,651,Kasaragod,3149,3800,655
57,510,Kannur,9607,10117,547
81,237,Wayanad,2344,2581,219
140,780,Kozhikode,9990,10770,754
105,765,Malappuram,33944,34709,639
43,452,Palakkad,10040,10492,472
105,489,Thrissur,12377,12866,422
135,954,Ernakulam,11773,12727,829
11,351,Idukki,4126,4477,366
128,548,Kottayam,9291,9839,566
82,718,Alappuzha,6234,6952,661
100,366,Pathanamthitta,3899,4265,412
57,781,Kollam,7916,8697,785
397,2455,Thiruvananthapuram,12385,14840,3023
1475,10057,Total,137075,147132,10350
