recovered,total_hospitalized,deaths,active,observation,district,isolation,hospitalized_today,confirmed
25531,275,94,1993,7031,Kasaragod,6756,18,27625
46983,368,271,3344,14076,Kannur,13708,42,50624
22926,243,75,2186,6483,Wayanad,6240,27,25189
106239,716,424,5978,26675,Kozhikode,25959,95,112663
108246,486,395,3013,24514,Malappuram,24028,93,111669
53724,471,173,3547,11196,Palakkad,10725,36,57453
88349,928,409,4653,22954,Thrissur,22026,109,93425
106624,1226,402,9813,25131,Ernakulam,23905,120,116865
22421,447,36,3361,9777,Idukki,9330,47,25823
68765,1087,192,4968,16299,Kottayam,15212,120,73932
69296,914,325,3964,12361,Alappuzha,11447,46,73609
43866,975,95,7129,23116,Pathanamthitta,22141,146,51098
75365,772,284,5621,15490,Kollam,14718,101,81291
93371,1226,795,4011,28982,Thiruvananthapuram,27756,118,98257
931706,10134,3970,63581,244085,Total,233951,1118,999523
