confirmed,deaths,hospitalized_today,active,total_hospitalized,isolation,recovered,district,observation
20669,74,29,1786,443,5757,18805,Kasaragod,6200
29819,143,82,3657,705,16216,26014,Kannur,16921
9067,21,77,1132,547,11423,7914,Wayanad,11970
61005,164,207,7242,1773,24188,53592,Kozhikode,25961
62684,195,186,6619,1169,75990,55861,Malappuram,77159
33243,73,118,5322,1090,15042,27846,Palakkad,16132
52755,188,196,7950,1891,26416,44612,Thrissur,28307
58826,196,137,9574,1581,29513,49045,Ernakulam,31094
9688,11,35,2010,363,14011,7665,Idukki,14374
30795,77,223,3833,1559,18878,26883,Kottayam,20437
42726,131,136,7826,1537,12655,34752,Alappuzha,14192
18129,16,68,1958,688,9546,16154,Pathanamthitta,10234
42977,147,444,4692,1411,17207,38131,Kollam,18618
67536,507,173,5795,1746,25488,61186,Thiruvananthapuram,27234
539919,1943,2111,69396,16503,302330,468460,Total,318833
