confirmed,deaths,total_hospitalized,hospitalized_today,active,isolation,district,observation,recovered
26394,93,273,30,1902,5859,Kasaragod,6132,24393
47264,249,553,79,3987,12252,Kannur,12805,43008
23062,68,388,38,3742,6999,Wayanad,7387,19251
104181,384,931,114,7034,21036,Kozhikode,21967,96742
104794,384,459,61,3854,20164,Malappuram,20623,100542
54733,166,542,42,4206,9013,Palakkad,9555,50353
87169,393,951,116,4892,21443,Thrissur,22394,81871
107245,380,1439,134,10765,25881,Ernakulam,27320,96076
23265,32,509,50,4869,9318,Idukki,9827,18359
67034,183,1183,439,6147,15691,Kottayam,16874,60698
68241,298,1174,119,4036,11405,Alappuzha,12579,63884
44114,86,928,84,6343,13331,Pathanamthitta,14259,37677
73733,263,816,111,5615,11163,Kollam,11979,67835
92683,743,1362,184,4077,22371,Thiruvananthapuram,23733,87787
923912,3722,11508,1601,71469,205926,Total,217434,848476
