observation,isolation,active,total_hospitalized,district,hospitalized_today,deaths,confirmed,recovered
4908,3721,4095,1187,Kasaragod,51,64,15323,11160
16509,15384,6340,1125,Kannur,92,70,17730,11317
4487,3701,1147,786,Wayanad,41,5,5126,3974
32043,28474,10636,3569,Kozhikode,345,98,32513,21773
51855,49789,9288,2066,Malappuram,182,103,36262,26864
17902,16219,6745,1683,Palakkad,148,40,18620,11834
14850,12339,9329,2511,Thrissur,284,63,23774,14378
33206,30755,11987,2451,Ernakulam,206,99,30151,18057
13515,13066,1525,449,Idukki,47,6,5216,3683
18355,16459,5527,1896,Kottayam,224,31,16127,10569
14509,11970,6170,2539,Alappuzha,508,66,21820,15576
8914,7781,3371,1133,Pathanamthitta,145,6,11407,8029
19643,18068,7882,1575,Kollam,215,81,23363,15396
31304,27115,11366,4189,Thiruvananthapuram,437,314,46464,34747
282000,254841,95408,27159,Total,2925,1046,303896,207357
