district,isolation,active,deaths,confirmed,hospitalized_today,total_hospitalized,recovered,observation
Kasaragod,6859,1729,75,21457,24,364,19649,7223
Kannur,16374,3083,154,31727,66,593,28484,16967
Wayanad,8714,1355,22,10153,96,707,8776,9421
Kozhikode,21534,6538,185,66167,174,1673,59437,23207
Malappuram,84714,8023,216,69418,132,1417,61169,86131
Palakkad,15088,5194,82,36881,135,1213,31601,16301
Thrissur,26699,6730,223,57124,208,1743,50166,28442
Ernakulam,25518,8351,212,63235,118,1512,54661,27030
Idukki,14981,2562,12,11122,57,475,8546,15456
Kottayam,15849,4197,91,33953,242,1789,29663,17638
Alappuzha,9251,6068,159,46006,187,1417,39761,10668
Pathanamthitta,9497,2228,16,19636,99,729,17391,10226
Kollam,18859,4104,163,46198,162,1121,41923,19980
Thiruvananthapuram,26988,4325,538,70664,191,1517,65751,28505
Total,300925,64487,2148,583741,1891,16270,516978,317195
