deaths,observation,total_hospitalized,district,confirmed,recovered,hospitalized_today,active,isolation
93,6934,222,Kasaragod,27173,25289,10,1784,6712
267,14329,473,Kannur,49684,45530,32,3864,13856
74,6017,252,Wayanad,24520,21868,24,2577,5765
415,25442,716,Kozhikode,110126,103558,56,6131,24726
392,23878,483,Malappuram,109998,106396,107,3196,23395
172,10739,521,Palakkad,56733,53048,57,3504,10218
403,22626,887,Thrissur,91485,86645,134,4423,21739
394,25245,1310,Ernakulam,114087,103646,87,10021,23935
36,9721,447,Idukki,25056,21043,50,3972,9274
187,15968,1038,Kottayam,72033,67349,173,4491,14930
315,12253,981,Alappuzha,71878,67731,98,3809,11272
93,18447,974,Pathanamthitta,48811,41897,91,6813,17473
278,14060,691,Kollam,79057,73315,97,5443,13369
783,28005,1235,Thiruvananthapuram,96753,91787,163,4104,26770
3902,233664,10230,Total,977394,909102,1179,64132,223434
