isolation,deaths,recovered,total_hospitalized,observation,confirmed,active,district,hospitalized_today
5669,73,18490,464,6133,20464,1897,Kasaragod,12
16676,142,25013,714,17390,29271,4111,Kannur,52
11768,21,7721,506,12274,8812,1070,Wayanad,25
24464,158,51841,1888,26352,59550,7544,Kozhikode,149
73912,186,54703,1145,75057,61401,6503,Malappuram,232
15450,72,26402,1103,16553,32486,6010,Palakkad,129
26266,178,43096,2077,28343,51385,8106,Thrissur,236
29905,190,47737,1880,31785,57326,9388,Ernakulam,98
13251,11,7426,456,13707,9323,1884,Idukki,40
19109,72,25606,1687,20796,29993,4313,Kottayam,159
13201,127,33987,1739,14940,41725,7595,Alappuzha,369
9505,16,15774,732,18462,17693,1902,Pathanamthitta,72
17302,143,36932,1160,18462,41602,4520,Kollam,116
25261,499,60046,1972,27233,66677,6085,Thiruvananthapuram,126
301739,1888,454774,17523,327487,527708,70928,Total,1815
