district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,14712,14514,198,49,71
Kollam,11319,11251,68,9,53
Pathanamthitta,8902,8847,55,16,52
Idukki,6673,6649,24,4,20
Kottayam,11137,11110,27,4,31
Alappuzha,8910,8837,73,11,63
Ernakulam,17954,17849,105,24,50
Thrissur,16785,16700,85,5,61
Palakkad,17119,16945,174,3,180
Malappuram,17304,17029,275,52,107
Kozhikode,15120,14989,131,37,59
Wayanad,5537,5512,25,3,16
Kannur,17850,17649,201,17,119
Kasaragod,7784,7680,104,13,91
Total,177106,175561,1545,247,973
