district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,16914,16730,184,47,69
Kollam,8493,8326,167,18,150
Pathanamthitta,5010,4880,130,17,126
Idukki,4363,4310,53,9,49
Kottayam,8511,8418,93,19,97
Alappuzha,6822,6706,116,9,97
Ernakulam,12860,12687,173,14,127
Thrissur,14619,14475,144,19,113
Palakkad,9418,9232,186,18,154
Malappuram,19889,19550,339,14,201
Kozhikode,14809,14612,197,20,107
Wayanad,3530,3497,33,0,28
Kannur,17214,16996,218,31,120
Kasaragod,4899,4806,93,6,102
Total,147351,145225,2126,241,1540
