hospitalized_today,district,observation,isolation,total_hospitalized,active
6,Kasaragod,4754,4700,54,25
12,Kannur,5133,5030,103,52
1,Wayanad,4821,4814,7,1
3,Kozhikode,7494,7472,22,13
7,Malappuram,5713,5683,30,6
9,Palakkad,7030,6992,38,2
1,Thrissur,971,963,8,0
3,Ernakulam,186,173,13,2
0,Idukki,1950,1946,4,0
0,Kottayam,603,603,0,0
0,Alappuzha,2973,2968,5,0
0,Pathanamthitta,1144,1138,6,6
2,Kollam,2041,2030,11,5
18,Thiruvananthapuram,1510,1413,97,2
62,Total,46323,45925,398,114
