deaths,isolation,active,confirmed,recovered,observation,total_hospitalized,hospitalized_today,district
71,4934,2015,19869,17779,5401,467,5,Kasaragod
130,18064,4931,27745,22679,18964,900,75,Kannur
19,9586,1026,8138,7093,10137,551,63,Wayanad
152,25320,8213,55539,47167,27691,2371,231,Kozhikode
170,70473,6838,57942,50925,71736,1263,163,Malappuram
62,15103,6596,30122,23462,16284,1181,122,Palakkad
161,25390,9182,47603,38255,27665,2275,215,Thrissur
179,30603,10153,53476,43133,32736,2133,194,Ernakulam
9,14000,1792,8371,6568,14442,442,37,Idukki
56,19018,4634,27866,23174,20908,1890,106,Kottayam
119,12884,8213,38904,30556,14300,1416,394,Alappuzha
16,9405,1967,16782,14798,10198,793,53,Pathanamthitta
131,16634,5811,38973,33024,17931,1297,139,Kollam
467,25627,7323,64382,56545,27966,2339,242,Thiruvananthapuram
1742,297041,78694,495712,415158,316359,19318,2039,Total
