district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,17358,17150,208,24,77
Kollam,13035,12935,100,11,86
Pathanamthitta,10451,10366,85,13,76
Idukki,7965,7939,26,0,22
Kottayam,12613,12571,42,11,43
Alappuzha,10759,10667,92,4,83
Ernakulam,21799,21694,105,23,55
Thrissur,19429,19279,150,33,115
Palakkad,19387,19183,204,6,172
Malappuram,18974,18554,420,70,169
Kozhikode,17490,17335,155,41,78
Wayanad,6243,6220,23,1,21
Kannur,20072,19875,197,22,133
Kasaragod,8578,8472,106,10,101
Total,204153,202240,1913,269,1231
