observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
5484,814,Kasaragod,3303,23,1351,4670,4680,127
11089,1081,Kannur,2373,23,917,10008,3315,124
3783,316,Wayanad,1165,4,269,3467,1438,27
15122,1774,Kozhikode,3255,27,1717,13348,5004,264
45408,2188,Malappuram,5658,23,2964,43220,8651,290
13023,728,Palakkad,3534,3,921,12295,4459,156
10224,1180,Thrissur,2625,12,1366,9044,4005,187
17814,1469,Ernakulam,3595,33,1947,16345,5582,194
4420,298,Idukki,1304,3,361,4122,1669,34
13124,1128,Kottayam,2266,3,1300,11996,3569,193
9514,2107,Alappuzha,3044,15,2305,7407,5366,172
5796,917,Pathanamthitta,2087,3,1039,4879,3130,200
15209,1133,Kollam,2563,17,1244,14076,3827,71
24421,3992,Thiruvananthapuram,9086,85,5413,20429,14609,502
194431,19125,Total,45858,274,23114,175306,69304,2541
