deaths,observation,total_hospitalized,district,confirmed,recovered,hospitalized_today,active,isolation
93,6912,241,Kasaragod,27061,25120,17,1841,6671
266,13662,526,Kannur,49411,45267,45,3855,13136
73,6158,273,Wayanad,24446,21602,36,2770,5885
411,23448,766,Kozhikode,109649,102761,90,6456,22682
391,22912,476,Malappuram,109549,105751,72,3393,22436
172,10231,541,Palakkad,56547,52847,41,3519,9690
401,22096,903,Thrissur,90987,86139,103,4433,21193
394,24710,1360,Ernakulam,113472,103041,75,10011,23350
35,9678,474,Idukki,24956,20655,51,4261,9204
187,15563,1104,Kottayam,71478,66155,327,5130,14459
313,11755,984,Alappuzha,71540,67452,54,3752,10771
93,18210,1016,Pathanamthitta,48315,41474,123,6740,17194
277,12692,778,Kollam,78471,72998,116,5175,11914
777,26732,1222,Thiruvananthapuram,96298,91365,114,4078,25510
3883,224759,10664,Total,972180,902627,1264,65414,214095
