total_hospitalized,observation,district,isolation,hospitalized_today,active
32,2197,Kasaragod,2165,2,14
114,2720,Kannur,2606,12,54
6,1027,Wayanad,1021,2,0
50,1084,Kozhikode,1034,13,12
41,1813,Malappuram,1772,21,1
56,3472,Palakkad,3416,4,6
18,802,Thrissur,784,5,0
19,360,Ernakulam,341,1,2
11,1357,Idukki,1346,3,10
6,650,Kottayam,644,1,11
3,1259,Alappuzha,1256,0,0
10,385,Pathanamthitta,375,2,3
35,1025,Kollam,990,16,9
61,1976,Thiruvananthapuram,1915,17,1
462,20127,Total,19665,99,123
