observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
6168,1210,Kasaragod,4634,36,2143,4958,6816,117
12832,1472,Kannur,3682,34,1653,11360,5371,125
2613,387,Wayanad,1487,5,413,2226,1905,107
16570,1910,Kozhikode,5732,38,1907,14660,7682,272
42618,1728,Malappuram,9221,33,2397,40890,11657,258
9231,855,Palakkad,4679,4,1098,8376,5782,167
11099,1192,Thrissur,4260,20,1953,9907,6235,181
22389,1752,Ernakulam,5584,43,2678,20637,8312,190
5926,340,Idukki,1679,3,436,5586,2119,65
18641,1532,Kottayam,3662,3,1946,17109,5611,168
9137,1607,Alappuzha,5370,17,1919,7530,7308,240
6207,1027,Pathanamthitta,3321,3,1178,5180,4503,190
17539,1631,Kollam,4261,26,1856,15908,6146,249
23406,3605,Thiruvananthapuram,15006,131,4655,19801,19819,362
204376,20248,Total,72578,396,26232,184128,99266,2691
