total_hospitalized,observation,district,hospitalized_today,isolation,active
117,5857,Kasaragod,10,5740,49
111,5934,Kannur,25,5823,50
4,6877,Wayanad,3,6873,1
25,10012,Kozhikode,6,9987,13
40,6684,Malappuram,19,6644,7
31,10417,Palakkad,9,10386,2
10,4562,Thrissur,1,4552,1
20,378,Ernakulam,8,358,2
4,2449,Idukki,3,2445,0
0,1312,Kottayam,0,1312,0
6,4773,Alappuzha,1,4767,2
14,2858,Pathanamthitta,2,2844,6
9,3266,Kollam,1,3257,5
113,1811,Thiruvananthapuram,16,1698,2
504,67190,Total,104,66686,140
