observation,total_hospitalized,hospitalized_today,isolation,district,active
4619,52,7,4567,Kasaragod,25
4365,102,17,4263,Kannur,54
3472,8,1,3464,Wayanad,1
5203,27,9,5176,Kozhikode,9
4656,25,13,4631,Malappuram,6
4974,32,6,4942,Palakkad,7
869,8,0,861,Thrissur,0
153,13,5,140,Ernakulam,2
1780,5,1,1775,Idukki,0
571,0,0,571,Kottayam,0
2294,0,0,2294,Alappuzha,0
745,7,1,738,Pathanamthitta,6
1579,15,4,1564,Kollam,6
1387,38,38,1349,Thiruvananthapuram,1
36667,332,102,36335,Total,117
