observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
6579,1076,Kasaragod,4366,31,2006,5503,6406,61
13052,1360,Kannur,3471,34,1337,11692,4844,203
2462,294,Wayanad,1452,5,276,2168,1733,22
15782,1694,Kozhikode,5466,38,1582,14088,7091,273
42231,1491,Malappuram,8952,26,2142,40740,11126,287
9785,641,Palakkad,4559,4,893,9144,5457,129
9953,980,Thrissur,4032,18,1560,8973,5612,178
20890,1703,Ernakulam,5363,42,2397,19187,7809,159
5374,263,Idukki,1640,3,346,5111,1990,54
17391,1398,Kottayam,3465,3,1730,15993,5198,128
9141,1383,Alappuzha,5200,16,1583,7758,6801,75
6063,857,Pathanamthitta,3152,3,1022,5206,4178,48
17138,1297,Kollam,3835,26,1676,15841,5540,112
23009,3450,Thiruvananthapuram,13910,123,4670,19559,18730,347
198850,17887,Total,68863,372,23220,180963,92515,2076
