district,total_hospitalized,observation,isolation,hospitalized_today,active
Kasaragod,859,4162,3303,81,889
Kannur,372,9629,9257,53,409
Wayanad,393,2857,2464,25,343
Kozhikode,750,13132,12382,118,805
Malappuram,961,31571,30610,138,1079
Palakkad,456,10644,10188,80,433
Thrissur,565,11790,11225,66,578
Ernakulam,1261,13263,12002,165,1220
Idukki,265,4181,3916,5,273
Kottayam,457,9593,9136,26,496
Alappuzha,857,6648,5791,123,853
Pathanamthitta,440,4944,4504,62,463
Kollam,647,9166,8519,76,552
Thiruvananthapuram,2884,16394,13510,426,3099
Total,11167,147974,136807,1444,11492
