district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,795,729,66,11,4
Kollam,667,655,12,1,0
Pathanamthitta,2500,2478,22,4,9
Idukki,374,374,0,0,1
Kottayam,1246,1238,8,1,2
Alappuzha,1107,1097,10,3,0
Ernakulam,938,917,21,1,3
Thrissur,2296,2258,38,7,1
Palakkad,232,205,27,9,0
Malappuram,2172,2154,18,7,2
Kozhikode,4144,4130,14,10,0
Wayanad,377,377,0,0,0
Kannur,824,798,26,7,1
Kasaragod,339,333,6,4,1
Total,18011,17743,268,65,24
