district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,19563,19376,187,17,63
Kollam,14770,14660,110,15,91
Pathanamthitta,11604,11516,88,7,85
Idukki,8848,8818,30,2,23
Kottayam,13737,13690,47,7,49
Alappuzha,12113,12015,98,9,89
Ernakulam,24228,24114,114,15,56
Thrissur,21443,21253,190,34,150
Palakkad,21179,20961,218,19,177
Malappuram,20947,20560,387,41,199
Kozhikode,19916,19725,191,32,80
Wayanad,6882,6850,32,5,20
Kannur,22791,22601,190,29,123
Kasaragod,9381,9278,103,10,98
Total,227402,225417,1985,242,1303
