hospitalized_today,total_hospitalized,isolation,district,observation,active
2,32,4589,Kasaragod,4621,23
34,130,9207,Kannur,9337,55
4,21,3362,Wayanad,3383,12
18,74,7798,Kozhikode,7872,22
46,112,10510,Malappuram,10622,44
14,54,9869,Palakkad,9923,44
3,38,8117,Thrissur,8155,16
25,61,8169,Ernakulam,8230,9
5,9,4108,Idukki,4117,2
0,8,5544,Kottayam,5552,10
2,18,4080,Alappuzha,4098,12
2,19,3999,Pathanamthitta,4018,7
6,22,5134,Kollam,5156,9
21,70,5930,Thiruvananthapuram,6000,10
182,668,90416,Total,91084,275
