observation,isolation,total_hospitalized,confirmed,active,district,hospitalized_today,recovered,deaths
4970,4272,698,17830,2696,Kasaragod,58,15064,66
18902,17826,1076,22758,5673,Kannur,115,16985,96
5993,5341,652,6429,1019,Wayanad,58,5405,5
29784,26669,3115,43368,9977,Kozhikode,373,33263,122
55088,53370,1718,47673,11850,Malappuram,232,35680,135
17121,15832,1289,23934,7874,Palakkad,132,16011,48
18974,16606,2368,34341,10323,Thrissur,305,23920,94
31965,29682,2283,40732,12263,Ernakulam,483,28329,131
10252,9838,414,6657,1919,Idukki,48,4729,7
19081,16739,2342,21110,7335,Kottayam,264,13732,43
13675,12335,1340,28927,7437,Alappuzha,706,21388,88
10094,9141,953,14143,2800,Pathanamthitta,133,11332,10
18147,16633,1514,30184,6498,Kollam,154,23581,100
28522,25367,3155,54844,8921,Thiruvananthapuram,378,45491,387
282568,259651,22917,392930,96585,Total,3439,294910,1332
