isolation,hospitalized_today,district,observation,total_hospitalized,active
3264,110,Kasaragod,4044,780,806
9279,47,Kannur,9686,407,464
2478,32,Wayanad,2869,391,365
11456,65,Kozhikode,12153,697,778
31639,151,Malappuram,32563,924,952
10347,16,Palakkad,10758,411,410
11823,94,Thrissur,12358,535,517
10689,99,Ernakulam,11849,1160,1044
3930,47,Idukki,4251,321,330
8447,75,Kottayam,8997,550,575
5869,40,Alappuzha,6608,739,739
3777,60,Pathanamthitta,4257,480,502
8347,55,Kollam,9012,665,579
13110,224,Thiruvananthapuram,15829,2719,3423
134455,1115,Total,145234,10779,11484
