hospitalized_today,total_hospitalized,isolation,district,observation,active
2,83,6737,Kasaragod,6820,86
35,420,22569,Kannur,22989,246
3,42,3497,Wayanad,3539,32
59,254,17318,Kozhikode,17572,120
36,475,35569,Malappuram,36044,278
25,187,11622,Palakkad,11809,176
30,213,18259,Thrissur,18472,189
46,259,13033,Ernakulam,13292,191
2,42,4126,Idukki,4168,41
17,114,7756,Kottayam,7870,116
22,245,6643,Alappuzha,6888,179
20,174,4809,Pathanamthitta,4983,183
13,151,9649,Kollam,9800,183
57,256,13257,Thiruvananthapuram,13513,109
367,2915,174844,Total,177759,2129
