observation,total_hospitalized,district,recovered,deaths,active,isolation,confirmed,hospitalized_today
6218,802,Kasaragod,3459,25,1550,5416,5037,105
12005,1055,Kannur,2580,26,914,10950,3522,106
3236,249,Wayanad,1225,5,242,2987,1472,10
15391,1874,Kozhikode,3496,29,1930,13517,5460,278
47023,1997,Malappuram,6358,24,2837,45026,9225,310
12743,863,Palakkad,3672,3,961,11880,4637,135
10076,1322,Thrissur,2882,13,1484,8754,4381,214
18064,1510,Ernakulam,3925,33,1984,16554,5949,146
4627,284,Idukki,1390,3,337,4343,1731,35
14378,1188,Kottayam,2458,3,1470,13190,3931,138
9805,2181,Alappuzha,3538,15,2078,7624,5633,174
5881,852,Pathanamthitta,2308,3,1026,5029,3338,128
15730,1326,Kollam,2720,19,1470,14404,4212,194
24291,3983,Thiruvananthapuram,9838,86,5378,20308,15327,405
199468,19486,Total,49849,287,23661,179982,73855,2378
