isolation,total_hospitalized,hospitalized_today,observation,district,active
3691,32,1,3723,Kasaragod,15
7725,81,37,7806,Kannur,16
2607,26,2,2633,Wayanad,16
6443,35,12,6478,Kozhikode,15
9054,122,46,9176,Malappuram,30
8477,55,9,8532,Palakkad,20
6597,32,5,6629,Thrissur,10
6621,44,8,6665,Ernakulam,10
3338,5,3,3343,Idukki,1
4321,9,1,4330,Kottayam,5
3196,17,5,3213,Alappuzha,5
3076,13,7,3089,Pathanamthitta,7
3696,15,5,3711,Kollam,4
5023,47,14,5070,Thiruvananthapuram,7
73865,533,155,74398,Total,161
