observation,hospitalized_today,district,isolation,total_hospitalized,active
1930,1,Kasaragod,1901,29,12
2681,19,Kannur,2579,102,47
815,2,Wayanad,804,11,0
1125,6,Kozhikode,1077,48,5
1554,20,Malappuram,1464,90,1
3253,15,Palakkad,3190,63,6
912,6,Thrissur,890,22,0
766,1,Ernakulam,748,18,1
1584,3,Idukki,1559,25,14
1256,0,Kottayam,1238,18,18
1317,0,Alappuzha,1315,2,0
215,2,Pathanamthitta,206,9,2
1207,4,Kollam,1171,36,15
2058,5,Thiruvananthapuram,2030,28,2
20673,84,Total,20172,501,123
