isolation,hospitalized_today,observation,total_hospitalized,district,active
10337,13,10600,263,Kasaragod,123
7781,21,7881,100,Kannur,44
10692,1,10695,3,Wayanad,1
17364,4,17387,23,Kozhikode,8
13789,123,13988,199,Malappuram,16
16359,7,16392,33,Palakkad,3
12323,0,12343,20,Thrissur,5
2711,4,2735,24,Ernakulam,7
4363,0,4371,8,Idukki,1
2589,3,2593,4,Kottayam,0
7169,2,7181,12,Alappuzha,3
6463,1,6477,14,Pathanamthitta,8
6454,1,6464,10,Kollam,7
4282,21,4383,101,Thiruvananthapuram,2
122676,201,123490,814,Total,228
