deaths,hospitalized_today,recovered,confirmed,isolation,district,observation,total_hospitalized,active
75,19,19835,21690,7511,Kasaragod,7896,385,1776
154,50,28799,32173,16265,Kannur,16838,573,3214
22,155,9014,10509,8148,Wayanad,8913,765,1473
186,232,61079,67255,21569,Kozhikode,23177,1608,5983
224,116,62714,70710,84915,Malappuram,86314,1399,7762
82,102,32208,37723,14982,Palakkad,16160,1178,5429
233,197,51397,58296,26429,Thrissur,28099,1670,6660
219,152,55588,64444,26594,Ernakulam,28128,1534,8626
12,47,8830,11443,13920,Idukki,14389,469,2599
96,162,30377,34928,13814,Kottayam,15574,1760,4453
168,77,40243,46551,8457,Alappuzha,9797,1340,6122
18,95,17664,19936,9475,Pathanamthitta,10263,788,2253
163,131,42599,46885,15472,Kollam,16523,1051,4115
544,166,66450,71414,28672,Thiruvananthapuram,30180,1508,4370
2196,1701,526797,593957,296223,Total,312251,16028,64835
